Monday,,,,,,,
GameID,Away,Home,IsNeutral,IsNBA,Channel,Week,Capacity
Monday,,,,,,,
GameID,Away,Home,IsNeutral,IsNBA,Channel,Week,Capacity
1,DUKE,WAKE,0,0,4,1,17000
2,DUKE,WAKE,0,0,4,1,17000
3,DUKE,WAKE,0,0,4,1,17000
4,DUKE,WAKE,0,0,4,1,17000
5,DUKE,WAKE,0,0,4,1,17000
6,DUKE,WAKE,0,0,4,1,17000
7,DUKE,WAKE,0,0,4,1,17000
8,DUKE,WAKE,0,0,4,1,17000
9,DUKE,WAKE,0,0,4,1,17000
10,MEMP,WAKE,0,0,4,1,17000
11,MEMP,WAKE,0,0,4,1,17000
12,MEMP,WAKE,0,0,4,1,17000
13,MEMP,WAKE,0,0,4,1,17000
14,MEMP,WAKE,0,0,4,1,17000
15,MEMP,WAKE,0,0,4,1,17000
16,MEMP,WAKE,0,0,4,1,17000
17,MEMP,WAKE,0,0,4,1,17000
18,MEMP,WAKE,0,0,4,1,17000
19,MEMP,WAKE,0,0,4,1,17000
20,MEMP,WAKE,0,0,4,1,17000
21,MEMP,WAKE,0,0,4,1,17000
22,MEMP,WAKE,0,0,4,1,17000
23,MEMP,WAKE,0,0,4,1,17000
24,DUKE,SJSU,0,0,4,1,17000
25,DUKE,SJSU,0,0,4,1,17000
26,DUKE,SJSU,0,0,4,1,17000
27,DUKE,SJSU,0,0,4,1,17000
28,DUKE,SJSU,0,0,4,1,17000
29,DUKE,SJSU,0,0,4,1,17000
30,DUKE,SJSU,0,0,4,1,17000
31,DUKE,SJSU,0,0,4,1,17000
32,DUKE,SJSU,0,0,4,1,17000
33,MIST,WAKE,0,0,4,1,17000
34,MIST,WAKE,0,0,4,1,17000
35,MIST,WAKE,0,0,4,1,17000
36,MIST,WAKE,0,0,4,1,17000
37,MIST,WAKE,0,0,4,1,17000
38,DUKE,MIST,0,0,4,1,17000
39,MINN,WAKE,0,0,4,1,17000
40,MINN,WAKE,0,0,4,1,17000
41,MINN,WAKE,0,0,4,1,17000
42,MINN,WAKE,0,0,4,1,17000
43,MINN,WAKE,0,0,4,1,17000
44,MINN,WAKE,0,0,4,1,17000
45,MINN,WAKE,0,0,4,1,17000
46,MINN,WAKE,0,0,4,1,17000
47,DUKE,OSU,0,0,4,1,17000
48,DUKE,OSU,0,0,4,1,17000
49,DUKE,OSU,0,0,4,1,17000
50,DUKE,OSU,0,0,4,1,17000
51,DUKE,WAKE,0,0,4,1,17000
52,DUKE,OSU,0,0,4,1,17000
53,DUKE,ND,0,0,4,1,17000
54,DUKE,WAKE,0,0,4,1,17000
55,DUKE,WAKE,0,0,4,1,17000
56,DUKE,WAKE,0,0,4,1,17000
57,DUKE,WAKE,0,0,4,1,17000
58,DUKE,WAKE,0,0,4,1,17000
59,DUKE,WAKE,0,0,4,1,17000
60,DUKE,WAKE,0,0,4,1,17000
61,DUKE,WAKE,0,0,4,1,17000
62,DUKE,WAKE,0,0,4,1,17000
63,DUKE,WAKE,0,0,4,1,17000
64,DUKE,WAKE,0,0,4,1,17000
65,DUKE,WAKE,0,0,4,1,17000
66,DUKE,WAKE,0,0,4,1,17000
67,DUKE,WAKE,0,0,4,1,17000
68,DUKE,WAKE,0,0,4,1,17000
69,DUKE,WAKE,0,0,4,1,17000
70,DUKE,WAKE,0,0,4,1,17000
71,DUKE,WAKE,0,0,4,1,17000
72,DUKE,WAKE,0,0,4,1,17000
73,DUKE,WAKE,0,0,4,1,17000
74,DUKE,WAKE,0,0,4,1,17000
75,DUKE,WAKE,0,0,4,1,17000
76,DUKE,WAKE,0,0,4,1,17000
77,DUKE,WAKE,0,0,4,1,17000
78,DUKE,WAKE,0,0,4,1,17000
79,DUKE,WAKE,0,0,4,1,17000
80,DUKE,WAKE,0,0,4,1,17000
81,DUKE,WAKE,0,0,4,1,17000
82,DUKE,WAKE,0,0,4,1,17000
83,DUKE,WAKE,0,0,4,1,17000
84,DUKE,WAKE,0,0,4,1,17000
85,DUKE,WAKE,0,0,4,1,17000
86,DUKE,WAKE,0,0,4,1,17000
87,DUKE,WAKE,0,0,4,1,17000
88,DUKE,WAKE,0,0,4,1,17000
89,DUKE,WAKE,0,0,4,1,17000
90,DUKE,WAKE,0,0,4,1,17000
91,DUKE,WAKE,0,0,4,1,17000
92,DUKE,WAKE,0,0,4,1,17000
93,DUKE,WAKE,0,0,4,1,17000
94,DUKE,WAKE,0,0,4,1,17000
95,DUKE,WAKE,0,0,4,1,17000
96,DUKE,WAKE,0,0,4,1,17000
97,DUKE,WAKE,0,0,4,1,17000
98,DUKE,WAKE,0,0,4,1,17000
99,DUKE,WAKE,0,0,4,1,17000
100,DUKE,WAKE,0,0,4,1,17000
,,,,,,,
,,,,,,,
Wednesday,,,,,,,
GameID,Away,Home,IsNeutral,IsNBA,Channel,Week,
